,timestamp,electricity_demand,temperature_2m,hour,day,month,day_of_week
timestamp,1.0,-0.02573933602380777,0.08724365863464283,0.0005015097357826965,0.0293988199304914,0.3269162597290709,-0.002043555512270899
electricity_demand,-0.02573933602380777,1.0,0.18101823950649773,0.16352071714051053,0.0038670549375908647,0.01775814439736485,-0.12061952281000145
temperature_2m,0.08724365863464283,0.18101823950649773,1.0,0.10697800396905477,0.03115797127876831,0.1592227474140591,-0.004493171995136133
hour,0.0005015097357826965,0.16352071714051053,0.10697800396905477,1.0,-0.00038527473178136295,-0.0002843620219817364,0.0002607107609870822
day,0.0293988199304914,0.0038670549375908647,0.03115797127876831,-0.00038527473178136295,1.0,0.012138109673637551,-0.002334830789486957
month,0.3269162597290709,0.01775814439736485,0.1592227474140591,-0.0002843620219817364,0.012138109673637551,1.0,0.007631915587027667
day_of_week,-0.002043555512270899,-0.12061952281000145,-0.004493171995136133,0.0002607107609870822,-0.002334830789486957,0.007631915587027667,1.0
